№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,info,,⁕
1,07.04.24 13:27=UTC+02:00,CHMonte Tamaro,,12.05 km,14.47 P.,0 : 21 h,35.51,,, ,
2,13.08.24 12:19=UTC+02:00,CHVerbier,,53.23 km,53.23 P.,2 : 41 h,32.43,,, ,
3,01.06.24 11:18=UTC+02:00,ITLusentino,,213.16 km,255.79 P.,7 : 09 h,30.42,,, ,
4,14.08.24 15:49=UTC+02:00,CHVerbier,,8.26 km,8.26 P.,0 : 18 h,29.34,,, ,
5,30.07.24 09:46=UTC+02:00,CHNiesen,,256.21 km,307.45 P.,9 : 07 h,28.75,,, ,
6,03.08.24 12:20=UTC+02:00,CHMarbachegg,,5.55 km,5.55 P.,0 : 11 h,28.32,,, ,
7,29.08.24 11:44=UTC+02:00,FRGourdon,,134.18 km,161.02 P.,5 : 43 h,27.73,,, ,
8,12.04.24 12:18=UTC+02:00,CHRiederalp,,119.10 km,119.10 P.,4 : 22 h,27.66,,, ,
9,14.07.24 12:33=UTC+02:00,CHMarbachegg,,60.54 km,72.65 P.,2 : 48 h,26.01,,, ,
10,11.05.24 11:29=UTC+02:00,CHGrindelwald,,105.50 km,105.50 P.,4 : 08 h,25.66,,, ,
11,17.07.24 10:07=UTC+02:00,CHWeissenstein,,138.40 km,166.07 P.,5 : 27 h,25.56,,, ,
12,30.08.24 12:06=UTC+02:00,FRGourdon,,60.44 km,72.53 P.,2 : 50 h,24.78,,, ,
13,21.09.24 13:21=UTC+02:00,CHStockhorn,,24.89 km,24.89 P.,1 : 11 h,24.53,,, ,
14,06.08.24 12:30=UTC+02:00,CHLai Alv,,51.35 km,61.62 P.,2 : 10 h,24.37,,, ,
15,10.08.24 12:25=UTC+02:00,CHLai Alv,,68.41 km,82.10 P.,3 : 08 h,24.34,,,,
