№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,,info,,⁕
1,01.09.21 14:00=UTC+02:00,CHGrindelwald,,32.15 km,32.15 P.,1 : 38 h,34.79,,, ,,
2,28.08.21 12:44=UTC+02:00,CHVerbier,,47.35 km,47.35 P.,2 : 27 h,33.89,,, ,,
3,30.07.21 11:35=UTC+02:00,CHFiesch,,12.42 km,12.42 P.,0 : 27 h,30.53,,, ,,
4,29.07.21 12:06=UTC+02:00,CHFiesch,,59.36 km,59.36 P.,2 : 29 h,30.48,,, ,,
5,11.07.21 10:59=UTC+02:00,SIKobala,,67.76 km,81.31 P.,2 : 17 h,30.26,,, ,,
6,12.06.21 17:04=UTC+02:00,CHMarbachegg,,47.03 km,47.03 P.,1 : 39 h,29.98,,, ,,
7,15.08.21 15:16=UTC+02:00,CHMarbachegg,,50.68 km,50.68 P.,1 : 46 h,29.07,,, ,,
8,02.09.21 10:48=UTC+02:00,CHFiesch,,243.94 km,317.12 P.,9 : 06 h,28.01,,, ,,
9,05.09.21 10:23=UTC+02:00,CHMoosfluh,,228.74 km,274.49 P.,8 : 52 h,27.77,,, ,,
10,01.04.21 11:01=UTC+02:00,CHRiederalp,,203.70 km,264.81 P.,7 : 59 h,27.52,,, ,,
11,27.07.21 10:43=UTC+02:00,CHFiesch,,45.86 km,45.86 P.,1 : 49 h,27.22,,, ,,
12,21.07.21 10:57=UTC+02:00,CHFiesch,,142.99 km,171.59 P.,5 : 39 h,26.05,,, ,,
13,28.06.21 14:08=UTC+02:00,CHMarbachegg,,28.96 km,28.96 P.,1 : 11 h,25.33,,, ,,
14,17.04.21 11:37=UTC+02:00,CHAmisbühl,,28.67 km,28.67 P.,2 : 14 h,25.31,,, ,,
15,20.07.21 10:10=UTC+02:00,CHFiesch,,182.29 km,218.75 P.,7 : 58 h,24.6,,,,,
