№,Startzeit,Startplatz,Strecke,Länge,Punkte,Flugdauer,km/h,Gleiter,info,,,⁕
1,12.08.23 11:14=UTC+02:00,CHLai Alv,,52.54 km,52.54 P.,2 : 46 h,33.85,,, ,,
2,15.06.23 12:54=UTC+02:00,CHEbenalp,,63.34 km,63.34 P.,3 : 08 h,31.82,,, ,,
3,04.05.23 12:58=UTC+02:00,CHGrindelwald,,62.66 km,62.66 P.,2 : 57 h,26.22,,, ,,
4,25.06.23 13:13=UTC+02:00,CHMontoz,,75.36 km,75.36 P.,2 : 54 h,26.12,,, ,,
5,16.06.23 11:22=UTC+02:00,CHEbenalp,,39.76 km,39.76 P.,2 : 12 h,25.62,,, ,,
6,11.08.23 12:30=UTC+02:00,CHLai Alv,,97.30 km,116.76 P.,4 : 10 h,23.97,,, ,,
7,08.07.23 15:47=UTC+02:00,CHMarbachegg,,58.14 km,69.77 P.,2 : 47 h,23.74,,, ,,
8,10.08.23 13:50=UTC+02:00,CHLai Alv,,63.72 km,76.47 P.,2 : 50 h,22.71,,, ,,
9,17.06.23 12:39=UTC+02:00,CHEbenalp,,60.52 km,60.52 P.,3 : 08 h,21.93,,, ,,
10,28.05.23 12:36=UTC+02:00,CHMarbachegg,,61.24 km,61.24 P.,3 : 07 h,19.8,,, ,,
11,18.06.23 11:03=UTC+02:00,CHEbenalp,,36.81 km,36.81 P.,2 : 34 h,18.47,,,,,
